"Territory","year","recruitment_female","recruitment_male","breeding_proba","hatching_success","productivity","wind_b2_prebreeding","wind_a7_prebreeding","rainfall_prebredding","min_T_prebreeding","max_T_prebreeding","wind_b2_incubation","wind_a7_incubation","rainfall_incubation","min_T_incubation","max_T_incubation","wind_b2_rearing","wind_a7_rearing","rainfall_rearing","min_T_rearing","max_T_rearing","number_recruitment","fledging_success"
15,2010,0,0,1,1,2,25,0,165.403,-5.544,10.611,8,0,94.679,-3.263,8.582,49,1,312.562,5.449,23.426,"0",1
15,2011,0,0,1,1,2,29,1,154.527,-3.874,10.675,11,0,83.559,3.749,9.193,58,0,167.505,6.749,24.364,"0",1
15,2012,0,0,1,1,2,14,3,33.073,-8.277,9.83,6,1,3.764,1.434,12.113,47,1,313.286,5.125,24.198,"0",1
15,2013,0,0,0,0,0,23,1,77.313,-3.972,9.283,9,1,56.727,-4.015,9.605,45,0,380.832,0.251,23.692,"0",0
15,2014,0,0,1,1,1,26,1,375.153,2.421,10.089,17,0,43.86,3.364,10.137,36,0,155.031,4.759,24.307,"0",1
15,2015,0,0,1,1,0,19,3,88.985,-2.038,11.285,9,1,53.926,2.444,11.229,53,0,226.732,4.917,24.214,"0",0
15,2016,0,0,1,1,1,41,0,117.955,-0.596,10.848,10,1,45.966,1.339,9.737,42,0,278.348,2.625,23.399,"0",1
15,2017,1,0,0,0,0,23,0,107.693,-3.922,10.412,13,0,32.513,3.929,11.87,50,0,264.257,5.211,26.017,"F",0
15,2018,0,0,1,1,0,21,0,179.998,-0.447,10.994,8,0,112.088,-6.906,11.273,54,2,399.617,2.016,23.355,"0",0
15,2019,0,0,1,1,0,22,3,80.712,-0.401,9.908,15,0,27.147,5.086,11.171,50,2,213.782,4.74,30.083,"0",0
15,2020,0,0,1,1,1,31,0,127.823,1.964,12.581,10,0,51.731,3.494,12.481,59,0,241.6,4.209,22.687,"0",1
15,2021,0,0,1,1,1,22,1,166.089,-2.162,10.359,15,0,21.628,3.151,10.362,46,0,272.41,2.984,24.304,"0",1
15,2022,0,0,1,1,1,29,0,63.899,-0.114,12.446,13,0,55.047,2.181,11.331,59,0,135.713,1.003,27.566,"0",1
16,2009,0,0,1,1,2,26,0,209.082,-3.322,8.797,7,1,25.12,-0.69,10.662,49,0,246.676,4.327,25.034,"0",1
16,2010,0,0,1,1,2,25,0,174.67,-5.078,10.96,9,0,97.25,-2.707,8.98,50,1,309.031,5.871,23.906,"0",1
16,2011,0,0,1,1,1,31,1,154.262,-3.417,10.992,13,0,82.495,4.21,9.566,61,0,167.572,7.079,24.364,"0",1
16,2012,0,0,1,1,2,14,2,31.058,-7.792,10.246,7,0,3.532,1.902,12.408,51,0,300.194,5.534,24.559,"0",1
16,2013,0,0,1,1,2,27,1,78.082,-3.41,9.558,9,1,58.585,-3.515,9.855,49,0,373.515,0.736,24.114,"0",1
16,2014,0,0,1,1,2,31,1,379.779,2.659,10.456,19,0,45.575,3.622,10.467,42,0,151.072,5.174,24.702,"0",1
16,2015,0,0,1,1,2,23,2,92.502,-1.495,11.635,12,1,55.255,2.961,11.494,60,0,227.829,5.303,24.492,"0",1
16,2016,0,0,1,1,1,44,0,113.473,-0.274,11.285,10,1,45.492,1.665,9.782,45,0,264.359,3.046,23.68,"0",1
